Vorname;Nachname;Geburtsdatum;Geschlecht;Postleitzahl;Wohnort
Edit;Lackner;9.28.1982;weiblich;34396;Liebenau
Etta;Haß;8.19.1985;weiblich;25364;Bokel
Marc;Glaß;7.8.1992;männlich;91058;Erlangen
Nathalie;Kellermann;10.9.1995;weiblich;53229;Bonn
Siegward;Mester;6.28.2000;männlich;25364;Brande-Hörnerkirchen
Gunhild;Rath;4.8.1999;weiblich;24329;Dannau
Kreszenz;Stork;4.25.1998;weiblich;24960;Munkbrarup
Karolina;Grote;8.27.1984;weiblich;55595;Münchwald
Karlhorst;Heck;5.28.1999;männlich;25587;Münsterdorf
Desiderius;Harrer;2.8.1989;männlich;15741;Gräbendorf
Klaus;Zell;8.8.1996;männlich;96515;Sonneberg
Trautlinde;Schmelzer;8.11.1990;weiblich;97892;Kreuzwertheim
Siegert;Gall;10.4.1993;männlich;91282;Betzenstein
Hansmartin;Meurer;11.23.1988;männlich;84184;Tiefenbach
Josefine;Ammann;12.12.1983;weiblich;24361;Holzbunge
Kristiane;Baumgärtner;3.15.1981;weiblich;56237;Oberhaid
Baptist;Zeller;2.1.1993;männlich;26316;Varel
Michael;Richter;11.18.1999;männlich;69434;Hirschhorn
Marleen;Hansel;4.3.1987;weiblich;84567;Erlbach
Theo;Mundt;8.9.1995;männlich;18569;Kluis
Karlhorst;Drews;8.19.1994;männlich;24229;Schwedeneck
Sylvie;Lamm;2.27.1984;weiblich;98553;Eichenberg
Ilona;Fleck;11.28.1987;weiblich;07778;Lehesten
Erhart;Rummel;2.28.1996;männlich;39359;Etingen
Heideline;Spieker;12.30.1980;weiblich;39279;Hobeck
Volkward;Kothe;8.21.1992;männlich;86986;Schwabbruck
Hannsgeorg;Stöber;5.15.1991;männlich;32369;Rahden
Irene;Topp;2.26.1999;weiblich;47809;Krefeld
Erkhild;Arlt;9.12.1991;weiblich;06901;Rackith
Fridolin;Hampel;3.23.1991;männlich;65558;Langenscheid
Rosegret;Zettl;6.6.1996;weiblich;06386;Reppichau
Edith;Gohlke;1.17.1980;weiblich;85298;Scheyern
